Gene1,Gene2,Error
COX6C,TTI2,0.67483294
PGK1,RPS18,0.6764276
MED22,ZNF830,0.6806469
ATP6AP1,GEMIN4,0.6821796
SCYL1,TRPM7,0.6840097
MFAP1,NDUFB4,0.6844795
MCM3AP,MRPL36,0.68754697
PSMB6,PSPH,0.6888717
NUP54,TUBGCP3,0.69048864
DDX46,PSMD4,0.6919284
ADPRM,PSMD4,0.6972555
MED24,PET112,0.70258737
METAP2,WDR70,0.7027461
ARIH1,ZCCHC9,0.7033707
MAPKAP1,MRPS27,0.7036731
CIT,SCO1,0.7050855
PNN,PSMD12,0.7050997
GFI1B,NOL8,0.7090112
COX6C,MRPS11,0.7091643
KCTD10,QARS,0.7157422
KIAA1731,PSMC6,0.717151
METAP2,SLC39A9,0.7195304
INTS5,LARS,0.72052103
NDUFB1,USE1,0.7209763
Ltn1,PMF1,0.7230758
NDUFB4,RPL36A,0.72376245
COG3,NOL8,0.7240392
GTF2H1,RAD51,0.7252692
AFG3L2,VPS4A,0.7259945
SMNDC1,YTHDC1,0.72785795
CIRH1A,SRFBP1,0.72842574
AARS2,PSMB6,0.73070955
LUC7L3,TRNAU1AP,0.73246264
EMC7,PSMB6,0.73253447
PPP2R1A,RFC4,0.7325969
DCAF7,GFI1B,0.7359449
DHODH,MTOR,0.7378296
RPL10,TIPIN,0.74375415
CEP63,RPL35,0.749281
PTCD1,TIPIN,0.751371
ASNA1,CDK12,0.75165176
EXOSC4,RPL10,0.7558056
AATF,MCM3AP,0.7558416
EXOSC4,MPHOSPH6,0.75828636
DONSON,MTOR,0.7604294
EMC4,MAT2A,0.76871616
SCYL1,TIMM23B,0.7687224
TUBGCP5,XRN2,0.7745089
PSMC1,SKA3,0.78147995
LARS,NUDC,0.7975002
MED14,TAZ,0.7991117
MED22,VPS72,0.80218905
MAX,MRPS5,0.8025787
CHMP2A,PTTG1,0.804482
PGK1,XPO1,0.8123072
MRPL10,NUDC,0.8155878
MED24,NDUFA9,0.8225925
MED14,MFAP1,0.8228954
RPL35,RPL36A,0.8296031
ATP6V1G1,UBA2,0.83153933
CLSPN,HUS1,0.83928096
EIF3H,EIF4A1,0.8398979
EXOSC9,MED23,0.84319264
MRPS21,PSMC1,0.84945226
SCYL1,SNRPG,0.8532725
PSMC2,TAF2,0.8570627
SAP18,SLC35A1,0.86226016
NAA25,TAF2,0.8652699
EMC6,TIMELESS,0.8654302
ANAPC13,CDC27,0.8723938
EMC4,PELO,0.880274
DARS,GTF3C3,0.88138336
COX7C,PGK1,0.8884089
SKA3,UBA3,0.89636123
ATP5J2,PPP2R1A,0.89964485
MAPKAP1,MED23,0.904044
NDUFA8,RPTOR,0.91694134
MRPS25,PSMD1,0.91831326
EIF2B5,USMG5,0.9262566
ELP4,MBTPS2,0.92648804
ANAPC13,CCNK,0.9272861
IMPDH2,ZNF574,0.92778385
HUS1,RFC4,0.9291121
NEMF,RPL30,0.9346336
KCTD10,MRPL46,0.94049335
LEO1,POLD3,0.9445193
MED14,RPTOR,0.94598293
FAM50A,MTPAP,0.94715416
IMPDH2,PPP2R1A,0.95157546
MRPL46,PSMD1,0.95417655
FARSA,TRMT5,0.9588506
RFC4,UBA2,0.96090615
SFXN1,XPO1,0.96775585
HYPK,MFAP1,0.9789461
FAM208A,RPS28,0.98797774
LEO1,NAMPT,0.9895504
MTHFD2,RAE1,0.99424446
ANAPC13,CDC26,0.9952169
