Gene1,Gene2,Error
AFG3L2,VPS4A,0.7237463
MFAP1,NDUFB4,0.7252473
HUS1,RFC4,0.7256508
AURKA,RPL23,0.7304975
COX6C,MRPS11,0.7311574
EMC7,PSMB6,0.735617
MRPS21,PSMC1,0.7439579
CLSPN,HUS1,0.74874437
GTF2H1,RAD51,0.7491919
SMNDC1,YTHDC1,0.7504018
PPP2R1A,RFC4,0.7547144
Ltn1,PMF1,0.7555059
MED24,NDUFA9,0.7563956
FAM208A,RPS28,0.75843
ATP6V1G1,UBA2,0.7605497
NDUFB4,RPL36A,0.7621207
MRPL15,PSMD4,0.7624152
EMC4,MAT2A,0.76353234
RPL35,RPL36A,0.76519334
LARS,NUDC,0.77121025
MAX,MRPS5,0.77312374
SCYL1,TIMM23B,0.77513283
MRPL10,NUDC,0.7766436
MED14,TAZ,0.7784781
AARS2,PSMB6,0.78158855
KIAA1731,PSMC6,0.7837058
ASNA1,CDK12,0.7849699
MED22,VPS72,0.7903017
PSMC1,SKA3,0.7912031
EIF3H,EIF4A1,0.7931176
EXOSC9,MED23,0.79345924
EMC4,EMC7,0.79446787
LUC7L3,TRNAU1AP,0.79989374
MED14,MFAP1,0.8059104
SAP18,SLC35A1,0.81033456
PTCD1,TIPIN,0.81044185
EMC6,TIMELESS,0.8176722
SCYL1,TRPM7,0.81959224
EMC4,PELO,0.8238357
SCYL1,SNRPG,0.8256525
PGK1,XPO1,0.82664084
CHMP2A,PTTG1,0.828306
EIF2B5,USMG5,0.82999134
KCTD10,MRPL46,0.83099717
ANAPC13,CDC27,0.84170806
DARS,GTF3C3,0.8460391
MRPL46,PSMD1,0.8525684
ATP5J2,PPP2R1A,0.8629425
RFC4,UBA2,0.8741598
ANAPC13,CCNK,0.8798785
MAPKAP1,MED23,0.88176817
ELP4,MBTPS2,0.88343
SKA3,UBA3,0.8835916
IMPDH2,ZNF574,0.8902427
MAPKAP1,MRPS27,0.89386535
NEMF,RPL30,0.9037552
LEO1,POLD3,0.91410637
IMPDH2,PPP2R1A,0.92227376
HYPK,MFAP1,0.925923
NDUFA8,RPTOR,0.9269886
FAM50A,MTPAP,0.93971044
MED14,RPTOR,0.9404332
PSMC2,TAF2,0.9499079
ANAPC13,CDC26,0.9529626
MTHFD2,RAE1,0.95663947
SFXN1,XPO1,0.9585672
NAA25,TAF2,0.96262133
AATF,MCM3AP,0.96521914
FARSA,TRMT5,0.9658627
